adt_pattern	gene_symbol	aliases	source
CD223-(LAG-3)	LAG3		biolegend
CD224	GGT1		biolegend
CD226	CD226		biolegend
CD226-(DNAM-1)	CD226		biolegend
CD235a	GYPA		biolegend
CD244	CD244		biolegend
CD244-(2B4)	CD244		biolegend
CD252	TNFSF4		biolegend
CD253	TNFSF10		biolegend
CD257	TNFSF13B		biolegend
CD267	TNFRSF13B		biolegend
CD267-(TACI)	TNFRSF13B		biolegend
CD268	TNFRSF13C		biolegend
CD268-(BAFF-R)	TNFRSF13C		biolegend
CD269	TNFRSF17		biolegend
CD270	TNFRSF14		biolegend
CD270-(HVEM--TR2)	TNFRSF14		biolegend
CD272	BTLA		biolegend
CD272-(BTLA)	BTLA		biolegend
CD273	PDCD1LG2		biolegend
CD274	CD274		biolegend
CD274-(B7-H1--PD-L1)	CD274		biolegend
CD275	ICOSLG		biolegend
CD278	ICOS		biolegend
CD278-(ICOS)	ICOS		biolegend
CD279	PDCD1		biolegend
CD303	CLEC4C		biolegend
CD303-(BDCA-2)	CLEC4C		biolegend
CD304	NRP1		biolegend
CD314	KLRK1		biolegend
CD314-(NKG2D)	KLRK1		biolegend
CD319	SLAMF7		biolegend
CD319-(CRACC)	SLAMF7		biolegend
CD324	CDH1		biolegend
CD324-(E-cadherin)	CDH1		biolegend
CD325	CDH2		biolegend
CD325-(N-cadherin)	CDH2		biolegend
CD326	EPCAM		biolegend
CD326-(EPCAM)	EPCAM		biolegend
CD328	SIGLEC7		biolegend
CD328-(Siglec-7)	SIGLEC7		biolegend
CD335	NCR1		biolegend
CD335-(NKp46)	NCR1		biolegend
CD336	NCR2		biolegend
CD337	NCR3		biolegend
CD340	ERBB2		biolegend
CD352	SLAMF6		biolegend
CD352-(NTB-A)	SLAMF6		biolegend
CD355	CRTAM		biolegend
CD357	TNFRSF18		biolegend
CD366	HAVCR2		biolegend
CD371	CLEC12A		biolegend
CLEC12A	CLEC12A		biolegend
CRTH2	PTGDR2		biolegend
CTLA-4	CTLA4		biolegend
CX3CR1	CX3CR1		biolegend
CXCR1	CXCR1		biolegend
CXCR2	CXCR2		biolegend
CXCR3	CXCR3		biolegend
CXCR4	CXCR4		biolegend
CXCR5	CXCR5		biolegend
CXCR6	CXCR6		biolegend
EpCAM	EPCAM		biolegend
FAS	FAS		biolegend
FcepsilonRIalpha	FCER1A		biolegend
FoxP3	FOXP3		biolegend
Galectin-3	LGALS3		biolegend
Galectin-9	LGALS9		biolegend
GPR56	ADGRG1	GPR56	biolegend
HLA-A-B-C	HLA-A	HLA-B;HLA-C	biolegend
HLA-DR	HLA-DRA		biolegend
HLA-DQ	HLA-DQA1	HLA-DQB1	biolegend
HLA-E	HLA-E		biolegend
ICOS	ICOS		biolegend
IgA	IGHA1	IGHA2	biolegend
IgD	IGHD		biolegend
IgE	IGHE		biolegend
IgG	IGHG1	IGHG2;IGHG3;IGHG4	biolegend
Ig-light-chain-kappa	IGKC		biolegend
Ig-light-chain-lambda	IGLC1	IGLC2;IGLC3	biolegend
IgM	IGHM		biolegend
integrin-alphaE	ITGAE		biolegend
integrin-beta7	ITGB7		biolegend
KLRG1	KLRG1		biolegend
KLRG1-(MAFA)	KLRG1		biolegend
LAG3	LAG3		biolegend
LOX-1	OLR1		biolegend
NKG2A	KLRC1		biolegend
NKG2C	KLRC2		biolegend
NKG2D	KLRK1		biolegend
NKp30	NCR3		biolegend
NKp44	NCR2		biolegend
NKp46	NCR1		biolegend
Notch1	NOTCH1		biolegend
Notch2	NOTCH2		biolegend
PD-1	PDCD1		biolegend
PD-L1	CD274		biolegend
PD-L2	PDCD1LG2		biolegend
SIGLEC-8	SIGLEC8		biolegend
SLAMF1	SLAMF1		biolegend
SLAMF7	SLAMF7		biolegend
TCR-alpha-beta	TRAC	TRBC1;TRBC2	biolegend
TCR-Va24-Ja18	TRAV10		biolegend
TCR-Va7.2	TRAV1-2		biolegend
TCR-Valpha7.2	TRAV1-2		biolegend
TCR-Vd2	TRDV2		biolegend
TCR-Vdelta2	TRDV2		biolegend
TCR-Vg9	TRGV9		biolegend
TCR-gamma-delta	TRDC	TRGC1;TRGC2	biolegend
TIGIT	TIGIT		biolegend
TIGIT-(VSTM3)	TIGIT		biolegend
TIM-3	HAVCR2		biolegend
VEGFR-2	KDR		biolegend
VEGFR-3	FLT4		biolegend
XCR1	XCR1		biolegend
