p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0.0017884802105274235	0.2677985015599713	0.458	0.495	1	1	Rpl32
0.001823750396635236	0.3032476535198061	0.472	0.521	1	1	Rpl27a
0.002217012801500247	0.4075746553145603	0.386	0.416	1	1	Ppia
0.005511129184532059	0.4450943094737032	0.299	0.307	1	1	Anxa1
0	4.272036375260444	0.905	0.132	0	2	Col1a2
0	4.0667136621823285	0.922	0.173	0	2	Col1a1
0	3.9229011683632584	0.904	0.122	0	2	Sparc
0	3.4798102304134515	0.914	0.232	0	2	Col3a1
0	3.1457651426877344	0.782	0.1	0	2	Dcn
0	3.1182319434407484	0.433	0.027	0	2	Dpt
0	2.9889379113646473	0.548	0.045	0	2	Gpx3
0	2.951310211332383	0.444	0.027	0	2	Col5a1
0	2.9318956193367884	0.656	0.065	0	2	Fstl1
0	2.900746874045784	0.372	0.018	0	2	Col6a2
0	2.820975217100644	0.563	0.055	0	2	Serpinh1
0	2.8060164250654847	0.336	0.015	0	2	Col5a3
0	2.8027908262986982	0.635	0.068	0	2	Bgn
0	2.7965671522376887	0.484	0.034	0	2	Col5a2
0	2.791047760907836	0.416	0.036	0	2	Serping1
0	2.781401911115233	0.4	0.028	0	2	Aebp1
0	2.7650424153336894	0.396	0.025	0	2	Col6a3
0	2.759277474271066	0.283	0.015	0	2	Il1rl1
0	2.720761623228733	0.402	0.024	0	2	Col6a1
0	2.593286176797278	0.364	0.022	0	2	Mfap5
0	2.560499840600542	0.366	0.025	0	2	Serpinf1
0	2.4305925757429856	0.349	0.037	0	2	Mmp14
0	2.4094591794688367	0.503	0.063	0	2	Postn
0	2.4017694173021535	0.483	0.068	0	2	Fn1
0	2.388450889565892	0.382	0.035	0	2	Mmp2
0	2.378141236436196	0.303	0.02	0	2	Lox
0	2.3648855234920574	0.327	0.028	0	2	Fbn1
0	2.3219823396963117	0.267	0.016	0	2	Rcn3
0	2.284561878600777	0.376	0.041	0	2	Lum
0	2.263737942631546	0.451	0.052	0	2	Fbln2
0	2.2152127680772136	0.515	0.084	0	2	Lgals1
1.59723104577213e-305	2.132634081937737	0.338	0.033	2.697403790099973e-301	2	Thbs2
8.923952585553897e-303	2.225865375132318	0.44	0.062	1.5070771126483421e-298	2	Tnfaip6
7.822807017210875e-286	2.6040851467155264	0.384	0.051	1.3211156490665725e-281	2	Timp1
2.4737694979212345e-281	2.194699262738176	0.301	0.029	4.177701928089381e-277	2	Fgfr1
2.7565182468103246e-281	2.306625587622025	0.334	0.036	4.655208015213276e-277	2	Cpxm1
2.1815653573753475e-279	2.035605679659754	0.274	0.022	3.684227575535487e-275	2	Pcolce
1.5593409742429834e-278	2.4929790480644876	0.276	0.023	2.6334150373015504e-274	2	Clec3b
3.659050100187568e-270	2.36173293163623	0.294	0.028	6.179403809196765e-266	2	Has1
8.988530763568279e-259	2.5766501746145556	0.252	0.021	1.5179830753514108e-254	2	Igfbp6
1.2913586176129274e-253	2.66252174833425	0.531	0.119	2.180846433424712e-249	2	Gsn
1.2587497475694557e-246	1.6794570565498286	0.665	0.175	2.125776573695297e-242	2	Vim
6.761105757150559e-243	1.9015991526486782	0.304	0.036	1.1418155402675864e-238	2	Bmp1
