gene_name	cluster_0	cluster_1	cluster_2	cluster_3	cluster_4	cluster_5	cluster_6	cluster_7	cluster_8	cluster_9	cluster_10	cluster_11	cluster_12	cluster_13	cluster_14
Cspp1	0.17715966102034814	0.17818107442013054	0.2908860577867585	0.3808319637398386	0	0.15466189674963846	0.2912102244801727	0.4081699730804957	0.26192114070329836	0.4310613119148937	0.2849123002770787	0.26244831569399835	0	0.6285503316787664	0.4953844227030105
Arfgef1	0.4056640077899458	0.49693872743791623	0.5986790695361031	0.7649443231728456	0.3618553319090816	0.6868168688101343	0.5784567982805191	0.8882305356478746	0.8617827903283497	0.19787937700656427	0.548227689538414	0.5698107887069218	0.6424133373559077	1.3362517283834117	0.5955759144122418
Gm37569	0.011397563516198472	0.016092523264173535	0.028992011943595297	0	0	0.15229709373757983	0.15335280760439482	0.1872898397183138	0.051426821486063985	0.005657243611757706	0.1425476836517347	0.08996979684554046	0	0	0
Cpa6	0	0	0	0	0.05272744229376146	0	0.0019408708333688114	0.00816231782376285	0	0	0	0	0	0	0
Prex2	0.13697401386983862	0.055446349088537	0.1342121826368033	0.01630743000475446	0.10521516109507374	0.10193568911430184	0.04278007152112448	0.7656382806910845	0	0	0.36536530824612834	0	0	0	0
Sulf1	0.22389016788499308	0.1102738175433453	0.8780566319536283	0.12622277235542034	0	0.15152484545907766	0.059636147051673645	0.12250997353465316	0.01939953271145052	0.35837360486262987	0.973826005142888	0	0	0	0
Slco5a1	0	0.026918535275604758	0.2300348946448739	0	0	0.3371746661399174	0.04667850851823025	0	0.14424011384534272	0.06203924078249377	0.2198199172113004	0.006369022328877157	0	0	0
Prdm14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ncoa2	0.25977866432324637	0.13770452520965656	0.17595757751402236	0.407327191018661	0.15309055606021388	0.27624497197292425	0.20799046544336516	0.33814792578498554	0.7826883310684876	0.00656471864564867	0.22812661871036238	0.3875387596891059	0	0.7422767033705323	0
Gm38376	0.013227461137423745	0	0.008888552365272001	0.04901909064520448	0	0	0.07241974369948563	0.007921178576099301	0.009418127800695163	0	0	0.008983616019811912	0	0.1593458619517401	0
