gene_name	gene_expression
Xkr4	5.7058875622863796e-5
Gm37180	0.0017731494566094528
Gm38148	4.237885247075846e-5
Sox17	0.0712211928356487
Mrpl15	0.27559417790792173
Gm37144	0.8928213818203415
Lypla1	0.4466690816095178
Tcea1	0.505916101542351
Gm37277	0.009221831963354006
Rgs20	0.2087430929355895
Gm37079	0.001230347574069396
Atp6v1h	0.6789445863358841
Gm37567	3.56769132532076e-4
Npbwr1	3.2492243737506163e-4
Rb1cc1	0.6694673284723862
St18	0.006718834763244234
Pcmtd1	0.29915934580121817
Gm38372	0.0022046039219902874
Rrs1	0.49056263726090166
Adhfe1	0.009851499066715938
Mybl1	0.05920997301130123
Vcpip1	0.4988698577154524
Sgk3	0.25324999128339987
Mcmdc2	0.007156727408574104
Tcf24	0.010285713482987182
Ppp1r42	4.629146326127501e-4
Cops5	0.3507131112854288
Cspp1	0.21488488651436288
Arfgef1	0.5276206211120064
Gm37569	0.0294317913729908
Cpa6	0.0026202208314110654
Prex2	0.11682366642038007
Sulf1	0.25165655310536855
Slco5a1	0.049553046813091306
Prdm14	0
Ncoa2	0.2404475112080853
Gm38376	0.012678032382754624
Gm37409	7.10723742511978e-4
Gm38223	7.744741661829414e-4
Gm37702	0.0076129718392488315
Gm38120	0.02052590024024349
Gm38380	0.016370674106156096
Tram1	0.8023681348141631
Lactb2	0.12216353133249395
Gm38319	0.001442018821780122
Xkr9	0
Eya1	0.010024277932270243
Msc	0.030944284287346774
Gm37412	4.2452136171051746e-4
Terf1	0.1063208252363477
Gm37509	0.003873313562207856
Sbspon	2.4065008769356497e-4
Rpl7	2.997278613707885
Rdh10	0.26009715145593726
Stau2	0.06414344430509923
Ube2w	0.24110050877889427
Gm38342	0.0046423355916986545
Eloc	0.9482933205094443
Tmem70	0.1537823328902685
Ly96	0.35016492853374714
Jph1	0.04048228260256912
Gdap1	1.0451666294347097e-4
Pi15	0.5807452722134141
Crispld1	0.024519309898471016
Tfap2b	0.1027897997146829
Mcm3	0.21723630033385263
Paqr8	0.040564169485689326
Efhc1	8.524188737076915e-4
Tram2	0.07630763588470382
Tmem14a	0.010870350570712157
Gm38224	0.021197712065107524
Gsta3	0.007965946641650302
Kcnq5	4.0184392247906225e-4
Rims1	0
Ogfrl1	0.18243003112232573
B3gat2	0.06871804075093066
Smap1	0.6198395186474684
Sdhaf4	0.14672689017779086
Fam135a	0.5779628554876284
Gm37580	1.0672472957438954e-4
Lmbrd1	0.3059315656119602
Adgrb3	0.011841351586031354
Gm37628	8.378030409711228e-5
Phf3	0.5708298505258592
Gm37522	0.030922321678575938
Gm37906	0.026364676919353264
Ptp4a1-ENSMUSG00000026064	0.01577171988419687
Ptp4a1-ENSMUSG00000117310	0.006892202187392042
Gm5415	0
Prim2	0.07879190510424575
Gm37618	4.2943139322199406e-5
1700001G17Rik	0.0054667373022495155
Rab23	0.036703858109084386
Bag2	0.07132174794239242
Zfp451	0.5439357346736523
Bend6	0.028880191129886334
Gm37067	3.7047391101023115e-5
Dst	0.9183428364630507
Gm37354	0.026395545667594864
Gm38157	0.044718299784803184
Ccdc115	0.18185144516831095
Imp4	0.33676305280175145
Ptpn18	0.2735699818252598
Arhgef4-ENSMUSG00000037509	0.11687207574679169
Fam168b	0.5642433352972281
Gm37127	5.584597588142715e-4
Plekhb2	0.46519300699140803
Hs6st1	0.30113258459736203
Uggt1	0.2040451724014136
Neurl3	0.3009669568939604
Arid5a	0.398516092715769
Kansl3	0.2509085233244623
Fer1l5	0.0011423421515498224
Lman2l	0.07333876493038431
Cnnm4	0.15411580390069685
Gm37909	1.544530348391135e-4
Cnnm3	0.030518309118371154
Ankrd23	0.015743091087903886
Ankrd39	0.050356798845662416
Sema4c	0.07294496036621323
Fam178b	0.006346490398960091
Cox5b	1.3101706724519642
Actr1b	0.4626162377454205
4933424G06Rik	5.3982884199849276e-5
Zap70	0.01253181813351603
Tmem131	0.4414613669861415
F830112A20Rik	0.001699062526450621
Inpp4a	0.08614535327169756
Coa5	0.31393116799298393
Unc50	0.32475637865959617
Mgat4a	0.12546208968234446
4930594C11Rik	0.009271617191671534
2010300C02Rik	0.017532746989530498
Tsga10	0.019548133123405254
Lipt1	0.007826194358100232
Mitd1	0.09418807891615476
Mrpl30	0.6457835754282508
Txndc9	0.5271852016216876
Eif5b	1.067074104204566
Rev1	0.17448211323002596
Aff3	0.048702255960134964
Chst10	0.004900206117536035
Pdcl3	0.6446396260907388
Gm37309	1.3005538428143755e-4
Npas2	0.031071220100190988
Rpl31	2.213877997138259
Tbc1d8	0.07356692669552138
Cnot11	0.12186200568423466
Rnf149	1.244116022702497
Creg2	0.00916278381005796
Map4k4	1.5257955886936592
Il1r2	0.4185564652969287
Gm37347	0.0039608130773099255
Il1r1	0.5523111148440116
Gm38070	0.04800792032401488
Il1rl2	0.5162465269376488
Il1rl1	0.746854729806497
Il18r1	0.10746164366875971
Il18rap	0.09078433339309612
Slc9a4	0.0037680971935358217
Mfsd9	0.0029573903072161872
Tmem182	0.00596710595610098
Pou3f3	0.014036040441499857
Mrps9	0.27195621537282466
Gpr45	6.143176500390015e-4
Tgfbrap1	0.19416859440095657
AI597479	0.10766970523506192
Fhl2	0.6171119354407287
Nck2	0.20659606339793216
Gm37536	0
Gm38228	4.8095744343976273e-4
Ecrg4	0.065720418695917035
Uxs1	0.19093967944606538
Tpp2	0.5644412158547987
